ID,Speed,VAT,Time,Price,Number,Type_Speed,Type_Vendor,Type_Date,Type_Customer,Folder_Name,Picture_Name
10,256 Kbps,266.43,30,249,*104*95*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedfreecall,10
11,512 Kbps,394.83,30,369,*104*96*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedfreecall,11
12,1 Mbps,535,30,500,*104*97*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedfreecall,12
13,4 Mbps,695.5,30,650,*104*98*9175289#,ไม่ลดสปีด + โทรฟรีในเครือข่าย,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedfreecall,13
27,512 Kbps,23.54,1,22,*104*347*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,1
28,1 Mbps,31.03,1,29,*104*377*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,2
29,4 Mbps,33.17,1,31,*104*387*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,3
30,10 Mbps,53.5,1,50,*104*397*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,4
31,512 Kbps,95.23,7,89,*104*348*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,5
32,1 Mbps,117.7,7,110,*104*378*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,6
33,4 Mbps,224.7,7,210,*104*388*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,7
34,10 Mbps,353.1,7,330,*104*398*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายวัน,ลูกค้าเก่า,unlimitedspeed,8
35,512 Kbps,321,30,300,*104*350*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedspeed,9
36,1 Mbps,353.1,30,330,*104*379*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedspeed,10
37,4 Mbps,695.5,30,650,*104*389*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedspeed,11
38,10 Mbps,1187.7,30,1110,*104*597*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedspeed,12
39,1 Mbps,802.5,90,750,*104*591*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedspeed,13
40,4 Mbps,1248,90,1200,*104*594*9175289#,ไม่อั้น ไม่ลดสปีด,Dtac,รายเดือน,ลูกค้าเก่า,unlimitedspeed,14
